time (ms),ankle acceleration forward,ankle acceleration vertical,ankle acceleration lateral,thigh acceleration forward,thigh acceleration vertical,thigh acceleration lateral,trunk acceleration forward,trunk acceleration vertical,trunk acceleration lateral,labels
15.0,40,29,-960,0,0,0,0,0,0,0.0
31.0,70,49,-960,0,0,0,0,0,0,0.0
46.0,60,29,-970,0,0,0,0,0,0,0.0
62.0,60,29,-970,0,0,0,0,0,0,0.0
78.0,50,19,-960,0,0,0,0,0,0,0.0
93.0,60,39,-960,0,0,0,0,0,0,0.0
109.0,60,39,-960,0,0,0,0,0,0,0.0
125.0,40,19,-960,0,0,0,0,0,0,0.0
140.0,40,19,-960,0,0,0,0,0,0,0.0
156.0,40,19,-960,0,0,0,0,0,0,0.0
171.0,40,19,-960,0,0,0,0,0,0,0.0
187.0,40,19,-960,0,0,0,0,0,0,0.0
203.0,40,39,-960,0,0,0,0,0,0,0.0
218.0,40,39,-960,0,0,0,0,0,0,0.0
234.0,60,29,-960,0,0,0,0,0,0,0.0
250.0,50,39,-940,0,0,0,0,0,0,0.0
265.0,60,29,-940,0,0,0,0,0,0,0.0
281.0,50,19,-940,0,0,0,0,0,0,0.0
296.0,40,39,-980,0,0,0,0,0,0,0.0
312.0,40,39,-980,0,0,0,0,0,0,0.0
328.0,70,19,-980,0,0,0,0,0,0,0.0
343.0,30,39,-950,0,0,0,0,0,0,0.0
359.0,60,19,-960,0,0,0,0,0,0,0.0
375.0,70,29,-960,0,0,0,0,0,0,0.0
390.0,60,29,-970,0,0,0,0,0,0,0.0
406.0,50,49,-970,0,0,0,0,0,0,0.0
421.0,50,49,-970,0,0,0,0,0,0,0.0
437.0,60,29,-970,0,0,0,0,0,0,0.0
453.0,60,29,-980,0,0,0,0,0,0,0.0
468.0,50,29,-970,0,0,0,0,0,0,0.0
484.0,60,29,-970,0,0,0,0,0,0,0.0
500.0,50,29,-960,0,0,0,0,0,0,0.0
515.0,60,19,-970,0,0,0,0,0,0,0.0
531.0,70,29,-970,0,0,0,0,0,0,0.0
546.0,70,19,-970,0,0,0,0,0,0,0.0
562.0,70,19,-970,0,0,0,0,0,0,0.0
578.0,70,19,-970,0,0,0,0,0,0,0.0
593.0,70,9,-960,0,0,0,0,0,0,0.0
609.0,60,29,-980,0,0,0,0,0,0,0.0
625.0,50,29,-960,0,0,0,0,0,0,0.0
640.0,70,29,-950,0,0,0,0,0,0,0.0
656.0,60,19,-960,0,0,0,0,0,0,0.0
671.0,60,29,-950,0,0,0,0,0,0,0.0
687.0,50,39,-960,0,0,0,0,0,0,0.0
