time (ms),ankle acceleration forward,ankle acceleration vertical,ankle acceleration lateral,thigh acceleration forward,thigh acceleration vertical,thigh acceleration lateral,trunk acceleration forward,trunk acceleration vertical,trunk acceleration lateral,labels
15.0,50,19,-960,-36,18,-979,0,0,0,0.0
31.0,50,29,-950,-36,18,-1000,0,0,0,0.0
46.0,40,9,-960,-27,9,-979,0,0,0,0.0
62.0,40,9,-960,-27,9,-979,0,0,0,0.0
78.0,80,19,-950,-27,37,-989,0,0,0,0.0
93.0,60,19,-960,-27,37,-989,0,0,0,0.0
109.0,60,19,-960,-27,27,-979,0,0,0,0.0
125.0,50,19,-950,-36,27,-989,0,0,0,0.0
140.0,50,19,-950,-36,27,-989,0,0,0,0.0
156.0,50,29,-970,-27,18,-979,0,0,0,0.0
171.0,70,9,-950,-36,18,-989,0,0,0,0.0
187.0,50,19,-970,-36,18,-989,0,0,0,0.0
203.0,50,19,-970,-27,9,-979,0,0,0,0.0
218.0,60,19,-970,-45,18,-989,0,0,0,0.0
234.0,50,39,-970,-45,18,-989,0,0,0,0.0
250.0,50,39,-970,-27,27,-1000,0,0,0,0.0
265.0,50,29,-970,-27,9,-979,0,0,0,0.0
281.0,60,29,-950,-27,9,-979,0,0,0,0.0
296.0,60,19,-950,-27,27,-979,0,0,0,0.0
312.0,60,19,-950,-27,27,-989,0,0,0,0.0
328.0,50,9,-960,-27,27,-989,0,0,0,0.0
343.0,50,19,-960,-27,27,-979,0,0,0,0.0
359.0,60,19,-960,-27,18,-979,0,0,0,0.0
375.0,60,19,-960,-9,9,-989,0,0,0,0.0
390.0,60,19,-960,-27,18,-1000,0,0,0,0.0
406.0,50,39,-970,-27,18,-1000,0,0,0,0.0
421.0,50,29,-970,-18,18,-979,0,0,0,0.0
437.0,60,19,-950,-36,27,-979,0,0,0,0.0
453.0,60,19,-950,-36,18,-979,0,0,0,0.0
468.0,60,29,-960,-27,18,-989,0,0,0,0.0
484.0,50,19,-950,-27,18,-989,0,0,0,0.0
500.0,50,39,-950,-27,0,-979,0,0,0,0.0
515.0,50,19,-960,-27,27,-989,0,0,0,0.0
531.0,50,19,-960,-27,27,-989,0,0,0,0.0
546.0,60,29,-970,-18,9,-979,0,0,0,0.0
562.0,50,19,-940,-18,9,-979,0,0,0,0.0
578.0,60,29,-970,-36,9,-969,0,0,0,0.0
593.0,40,19,-950,-27,18,-989,0,0,0,0.0
609.0,60,19,-970,-36,9,-979,0,0,0,0.0
625.0,60,19,-970,-45,18,-979,0,0,0,0.0
640.0,50,19,-960,-27,27,-979,0,0,0,0.0
656.0,60,19,-960,-27,27,-979,0,0,0,0.0
671.0,70,29,-950,-27,27,-989,0,0,0,0.0
687.0,70,29,-950,-27,18,-989,0,0,0,0.0
703.0,50,39,-970,-18,0,-969,0,0,0,0.0
718.0,50,9,-970,-27,27,-989,0,0,0,0.0
734.0,50,9,-970,-27,27,-989,0,0,0,0.0
750.0,70,9,-970,-27,27,-989,0,0,0,0.0
765.0,70,19,-970,-36,9,-979,0,0,0,0.0
781.0,60,9,-950,-27,27,-979,0,0,0,0.0
796.0,60,9,-950,-27,18,-979,0,0,0,0.0
812.0,50,19,-970,-27,18,-979,0,0,0,0.0
828.0,50,29,-960,-36,18,-979,0,0,0,0.0
843.0,50,29,-960,-27,9,-979,0,0,0,0.0
859.0,70,19,-960,-36,27,-1000,0,0,0,0.0
875.0,50,19,-960,-36,27,-1000,0,0,0,0.0
890.0,50,19,-960,-27,18,-969,0,0,0,0.0
906.0,60,29,-980,-36,27,-979,0,0,0,0.0
921.0,60,19,-960,-36,18,-979,0,0,0,0.0
937.0,60,19,-960,-36,18,-979,0,0,0,0.0
953.0,60,9,-990,-27,18,-989,0,0,0,0.0
968.0,70,19,-960,-27,9,-989,0,0,0,0.0
984.0,70,19,-960,-9,9,-1000,0,0,0,0.0
1000.0,50,29,-950,-27,27,-1000,0,0,0,0.0
1015.0,60,29,-950,-27,27,-1000,0,0,0,0.0
1031.0,60,29,-950,-27,0,-969,0,0,0,0.0
1046.0,40,39,-950,-27,18,-979,0,0,0,0.0
1062.0,60,19,-960,-27,18,-979,0,0,0,0.0
1078.0,60,19,-960,-36,27,-979,0,0,0,0.0
1093.0,50,19,-960,-27,9,-989,0,0,0,0.0
1109.0,50,19,-960,-27,9,-989,0,0,0,0.0
1125.0,50,29,-960,-27,9,-979,0,0,0,0.0
1140.0,40,19,-950,-27,18,-959,0,0,0,0.0
1156.0,40,19,-950,-27,18,-959,0,0,0,0.0
1171.0,60,19,-970,-27,27,-989,0,0,0,0.0
1187.0,50,29,-960,-36,9,-979,0,0,0,0.0
1203.0,50,29,-960,-36,9,-1000,0,0,0,0.0
1218.0,60,29,-980,-9,9,-969,0,0,0,0.0
1234.0,60,29,-980,-9,9,-969,0,0,0,0.0
1250.0,50,29,-960,-27,27,-1000,0,0,0,0.0
1265.0,50,29,-980,-27,18,-969,0,0,0,0.0
1281.0,50,29,-980,-27,18,-969,0,0,0,0.0
1296.0,60,19,-950,-36,27,-1000,0,0,0,0.0
1312.0,70,19,-940,-27,18,-989,0,0,0,0.0
1328.0,50,29,-970,-27,9,-1000,0,0,0,0.0
1343.0,50,29,-960,-36,18,-969,0,0,0,0.0
1359.0,50,29,-960,-27,18,-989,0,0,0,0.0
1375.0,60,9,-970,-18,9,-979,0,0,0,0.0
1390.0,70,19,-960,-27,27,-959,0,0,0,0.0
1406.0,50,29,-960,-27,27,-1000,0,0,0,0.0
1421.0,60,19,-970,-36,9,-989,0,0,0,0.0
1437.0,60,19,-970,-27,9,-989,0,0,0,0.0
1453.0,50,39,-960,-27,18,-1010,0,0,0,0.0
1468.0,50,29,-980,-27,9,-989,0,0,0,0.0
1484.0,60,19,-970,-27,18,-989,0,0,0,0.0
1500.0,60,29,-960,-27,27,-979,0,0,0,0.0
1515.0,60,29,-960,-27,9,-979,0,0,0,0.0
1531.0,40,29,-960,-45,9,-1000,0,0,0,0.0
1546.0,50,29,-980,-27,27,-989,0,0,0,0.0
1562.0,50,29,-980,-36,18,-969,0,0,0,0.0
1578.0,60,19,-960,-36,18,-979,0,0,0,0.0
1593.0,70,9,-960,-27,9,-989,0,0,0,0.0
1609.0,60,39,-980,-27,18,-989,0,0,0,0.0
1625.0,60,19,-960,-27,27,-979,0,0,0,0.0
1640.0,60,29,-970,-36,9,-959,0,0,0,0.0
1656.0,60,29,-970,-36,9,-989,0,0,0,0.0
1671.0,50,19,-950,-36,27,-979,0,0,0,0.0
1687.0,50,29,-960,-36,9,-1010,0,0,0,0.0
1703.0,60,29,-960,-36,27,-989,0,0,0,0.0
1718.0,60,29,-980,-36,9,-979,0,0,0,0.0
1734.0,40,19,-950,-27,18,-1000,0,0,0,0.0
1750.0,80,29,-960,-18,9,-1000,0,0,0,0.0
1765.0,80,29,-960,-18,18,-969,0,0,0,0.0
1781.0,50,9,-960,-27,18,-989,0,0,0,0.0
1796.0,50,29,-970,-27,9,-969,0,0,0,0.0
1812.0,50,19,-970,-36,18,-969,0,0,0,0.0
1828.0,50,29,-960,-27,18,-1000,0,0,0,0.0
1843.0,70,29,-960,-36,18,-989,0,0,0,0.0
1859.0,50,29,-960,-36,18,-989,0,0,0,0.0
1875.0,60,19,-960,-18,27,-979,0,0,0,0.0
1890.0,50,29,-960,-27,18,-969,0,0,0,0.0
1906.0,50,29,-960,-36,18,-989,0,0,0,0.0
1921.0,60,0,-960,-18,18,-979,0,0,0,0.0
1937.0,70,19,-950,-36,37,-969,0,0,0,0.0
1953.0,70,9,-960,-27,9,-989,0,0,0,0.0
1968.0,50,29,-950,-18,18,-979,0,0,0,0.0
1984.0,60,29,-970,-18,9,-979,0,0,0,0.0
2000.0,60,19,-960,-54,18,-989,0,0,0,0.0
2015.0,50,29,-990,-36,27,-979,0,0,0,0.0
2031.0,50,19,-980,-36,9,-989,0,0,0,0.0
2046.0,50,19,-950,-27,18,-989,0,0,0,0.0
2062.0,50,19,-980,-27,18,-989,0,0,0,0.0
2078.0,60,19,-970,-36,18,-979,0,0,0,0.0
2093.0,50,19,-970,-36,18,-979,0,0,0,0.0
2109.0,50,19,-950,-18,9,-979,0,0,0,0.0
2125.0,50,19,-960,-36,18,-989,0,0,0,0.0
2140.0,50,29,-970,-27,18,-979,0,0,0,0.0
2156.0,60,9,-960,-36,9,-969,0,0,0,0.0
2171.0,60,19,-940,-36,18,-979,0,0,0,0.0
2187.0,40,19,-960,-27,18,-979,0,0,0,0.0
2203.0,40,29,-970,-36,9,-979,0,0,0,0.0
2218.0,60,9,-970,-27,18,-979,0,0,0,0.0
2234.0,50,19,-970,-27,27,-1000,0,0,0,0.0
2250.0,70,19,-980,-18,18,-979,0,0,0,0.0
2265.0,50,19,-940,-45,37,-979,611,-123,776,0.0
2281.0,60,29,-970,-18,27,-989,611,-123,776,0.0
2296.0,40,29,-960,-27,9,-989,611,-123,776,0.0
2312.0,40,39,-960,-36,27,-979,611,-123,776,0.0
2328.0,60,39,-960,-36,18,-969,631,-114,747,0.0
2343.0,30,29,-980,-18,18,-979,631,-114,747,0.0
2359.0,60,19,-960,-18,18,-979,631,-123,776,0.0
2375.0,60,39,-950,-27,9,-969,621,-123,776,0.0
2390.0,40,29,-960,-36,27,-979,621,-123,776,0.0
2406.0,50,19,-960,-27,18,-969,631,-123,776,0.0
2421.0,50,19,-960,-27,0,-969,631,-133,776,0.0
2437.0,50,19,-980,-27,18,-979,631,-133,776,0.0
2453.0,70,29,-950,-36,27,-979,621,-114,757,0.0
2468.0,50,9,-980,-36,9,-979,621,-114,757,0.0
2484.0,50,19,-950,-36,18,-989,611,-133,766,0.0
2500.0,60,19,-950,-27,27,-989,621,-133,757,0.0
2515.0,40,19,-950,-18,9,-989,621,-133,786,0.0
2531.0,70,9,-960,-27,9,-1000,621,-133,786,0.0
2546.0,60,19,-960,-27,18,-969,631,-114,766,0.0
2562.0,50,19,-960,-36,18,-979,621,-133,796,0.0
2578.0,50,39,-960,-27,18,-979,611,-123,776,0.0
2593.0,60,29,-970,-27,18,-969,611,-123,776,0.0
2609.0,50,9,-960,-27,27,-989,621,-114,757,0.0
2625.0,60,29,-960,-27,9,-969,621,-123,776,0.0
2640.0,40,19,-960,-45,18,-979,640,-142,776,0.0
2656.0,60,29,-970,-36,18,-1000,640,-142,776,0.0
2671.0,60,19,-960,-27,9,-979,631,-114,766,0.0
2687.0,40,39,-960,-27,0,-969,631,-123,757,0.0
2703.0,60,29,-980,-18,9,-949,621,-114,776,0.0
2718.0,50,9,-960,-18,18,-969,640,-123,766,0.0
2734.0,70,9,-970,-18,9,-979,650,-123,757,0.0
2750.0,60,39,-960,-45,18,-989,650,-123,757,0.0
2765.0,60,29,-970,-18,9,-979,621,-114,786,0.0
2781.0,50,29,-980,-36,18,-969,621,-114,766,0.0
2796.0,50,29,-970,-27,18,-979,621,-104,776,0.0
2812.0,50,29,-970,-36,27,-969,611,-104,757,0.0
2828.0,40,39,-980,-27,18,-989,611,-104,757,0.0
2843.0,60,29,-960,-18,18,-989,631,-123,776,0.0
2859.0,70,19,-950,-36,27,-969,621,-114,776,0.0
2875.0,50,19,-970,-36,18,-979,631,-123,766,0.0
2890.0,50,19,-960,-27,9,-969,601,-123,786,0.0
2906.0,60,9,-960,-18,18,-989,621,-123,766,0.0
2921.0,70,19,-950,-18,9,-959,631,-123,796,0.0
2937.0,50,29,-960,-27,18,-989,631,-123,796,0.0
2953.0,60,19,-960,-27,9,-979,621,-123,766,0.0
2968.0,60,29,-960,-27,27,-969,611,-114,766,0.0
2984.0,60,9,-960,-27,9,-979,640,-152,776,0.0
3000.0,50,9,-960,-18,27,-979,621,-123,766,0.0
3015.0,70,29,-970,-27,9,-979,621,-123,747,0.0
3031.0,50,39,-980,-27,18,-979,631,-123,776,0.0
3046.0,50,29,-960,-27,27,-1010,640,-114,776,0.0
3062.0,50,29,-950,-18,18,-969,631,-123,757,0.0
3078.0,50,29,-970,-36,27,-979,631,-123,757,0.0
3093.0,50,39,-1000,-18,27,-979,621,-114,776,0.0
3109.0,50,29,-960,-36,9,-989,621,-123,766,0.0
3125.0,50,29,-970,-27,9,-979,621,-114,796,0.0
3140.0,40,29,-960,-36,18,-989,621,-133,757,0.0
3156.0,60,29,-940,-18,9,-969,611,-114,776,0.0
3171.0,50,19,-950,-27,27,-959,631,-114,757,0.0
3187.0,60,29,-980,-27,27,-979,621,-104,747,0.0
3203.0,70,19,-960,-18,18,-989,611,-123,757,0.0
3218.0,60,19,-970,-36,18,-989,631,-104,757,0.0
3234.0,60,9,-950,-27,9,-969,631,-104,757,0.0
3250.0,60,19,-960,-18,27,-989,621,-133,776,0.0
3265.0,50,29,-960,-27,9,-979,621,-114,786,0.0
3281.0,60,19,-970,-36,9,-969,621,-104,766,0.0
3296.0,60,19,-970,-36,27,-979,640,-133,776,0.0
3312.0,50,9,-950,-18,9,-979,621,-114,776,0.0
3328.0,40,29,-970,-45,18,-979,611,-123,776,0.0
3343.0,50,39,-960,-27,27,-959,631,-123,776,0.0
3359.0,70,29,-950,-45,37,-979,611,-114,766,0.0
3375.0,60,19,-1000,-18,18,-989,611,-114,776,0.0
3390.0,50,39,-950,-36,9,-969,631,-123,776,0.0
3406.0,60,39,-990,-45,37,-989,611,-123,766,0.0
3421.0,50,19,-970,-27,9,-979,640,-114,766,0.0
3437.0,50,19,-970,-45,37,-979,631,-133,776,0.0
3453.0,50,19,-990,-36,18,-989,611,-123,766,0.0
3468.0,60,19,-950,-18,18,-1000,621,-123,766,0.0
3484.0,60,39,-950,-18,9,-979,631,-104,757,0.0
3500.0,60,19,-960,-36,9,-969,631,-104,757,0.0
3515.0,50,19,-950,-36,27,-979,611,-114,776,0.0
3531.0,60,9,-960,-18,18,-959,631,-123,757,0.0
3546.0,50,29,-970,-27,9,-979,631,-123,786,0.0
3562.0,50,39,-960,-36,18,-979,640,-133,766,0.0
3578.0,60,29,-970,-36,18,-979,611,-123,757,0.0
3593.0,60,19,-950,-36,18,-979,631,-114,766,0.0
